id,bucket,subbucket,content_type,emotional_trigger,save_type,best_fit_template,title_example,general_trends_signal,strategy_learnings,seasonal_window,priority
K063,06. Newborn First 40 Days,"Newborn hiccups, sneezes and startles",Authority,Curiosity,Sharing,Q&A + Reassuring,Why Does YOUR Newborn Hiccup and Sneeze So Much?,"Frequent hiccups, sneezes and the startle reflex worry first-time parents who fear something is wrong; common reassurance searches.",Your Breastmilk Bath reel (57.4K) proves light curiosity-and-reassurance content performs; 'why so many hiccups and sneezes' gets shared as a relieved 'it's normal'.,Evergreen,3
K064,06. Newborn First 40 Days,When to take a newborn out in public,Authority,Concerned,Anxiety,Safe or Not,When Is It Safe to Take YOUR Newborn Outside?,"Parents weigh family pressure to show the baby against infection fears, especially after recent illness seasons; a common timing search.",Your Cow Milk verdict reel (94.4K) shows a clear answer settles a family debate - when-to-take-baby-out is the same kind of pressure-versus-safety question.,Evergreen,3
K065,07. NICU & Premature Babies,Will my baby need the NICU?,Discovery,Fear,Anxiety,Fear Hook + Q&A,Could YOUR Baby End Up in the NICU? What Every Pregnant Parent Should Know,"India accounts for roughly a fifth of the world's premature births, so NICU admission is a real and widespread fear, yet most expecting parents have no idea what it involves.","Your 293K developing-normally reel works by framing a topic as 'could this be MY baby' - do that here. Your Congenital Malaria reel died at 3.2K because niche topics have no self-relevance, so this only flies with that universal pregnancy hook.",Evergreen,1
K066,07. NICU & Premature Babies,What all the NICU machines actually do,Discovery,Concerned,Anxiety,Q&A + Reassuring,Inside the NICU: What Every Beeping Machine Means,"NICU parents are overwhelmed and frightened by the equipment, and there is strong search demand for plain-language explanations of incubators, monitors and tubes.","Your CGI Baby Heart reel flopped at 12K because animation signals 'textbook', while every real-footage reel you made outperformed it. Real NICU machine footage is the credibility advantage no general creator can copy.",Evergreen,2
K067,07. NICU & Premature Babies,Kangaroo Mother Care (skin-to-skin),Community,Joy,Sharing,Instructive + Reassuring,The Simple Skin-to-Skin Trick That Saves Premature Babies,"Kangaroo care is proven to help preemies regulate temperature and heartbeat and is promoted across Indian hospitals, with growing parent awareness.","Your Peekaboo reel (299K, 6,054 saves) shows hopeful, empowering content is your most shared - a simple skin-to-skin trick that saves babies taps that exact joy-and-agency lever.",Evergreen,2
K068,07. NICU & Premature Babies,Understanding 'corrected age',Authority,Curiosity,Anxiety,Q&A + Instructive,Why YOUR Premature Baby's 'Real Age' Is Different,"Corrected age confuses almost every preemie parent comparing their baby to full-term babies, and it is a top post-discharge question.",Your 293K developing-normally reel proves developmental reassurance gets saved; corrected age explained simply makes you the indispensable expert for the loyal preemie-parent niche.,Evergreen,2
K069,07. NICU & Premature Babies,Premature baby developmental milestones,Discovery,Fear,Anxiety,Fear Hook + Checklist,Is YOUR Premature Baby On Track? Milestones Explained,"Developmental delay is the number-one worry of parents after NICU discharge, and they search constantly for preemie-specific milestone guidance.","Your 293K developing-normally reel is your strongest format - applied to preemie milestones it combines self-check, reassurance and a save-worthy checklist for a niche that desperately wants it.",Evergreen,2
K070,07. NICU & Premature Babies,Low birth weight: catching up,Authority,Fear,Anxiety,Fear Hook + Reassuring,Will YOUR Low-Birth-Weight Baby Catch Up? The Truth,Low birth weight is common in India and a major parental anxiety about future growth and health; poor growth is a leading post-discharge concern.,"Your Breech Baby reel (175K, 0.75% save) shows fear-plus-evidence-reassurance gets saved - 'will my low-birth-weight baby catch up' is the same arc, with specialist value general accounts cannot match.",Evergreen,2
K071,07. NICU & Premature Babies,Why preemies struggle to breathe (RDS),Discovery,Fear,Anxiety,Fear Hook + Informative,Why Premature Babies Fight to Breathe - And How Doctors Help,"Respiratory distress is the most common serious preemie problem, and parents search to understand why their baby needs breathing support.","Your Blue Baby breathing footage was your strongest-ever hook but buried at 12K. A preemie-breathing story works only with that dramatic, universal hook - your Congenital Malaria 3.2K flop is the warning against a dry medical framing.",Evergreen,3
K072,07. NICU & Premature Babies,Eye screening for preemies (ROP),Authority,Concerned,Anxiety,Informative + Instructive,The Eye Test That Can Save YOUR Premature Baby's Sight,"Retinopathy of prematurity can cause blindness if missed, and timely screening is a critical but under-known step for preemie parents in India.",Your 293K developing-normally reel shows a sight-or-safety danger with a clear action gets saved; ROP screening is high-stakes for preemie parents and your authority makes the warning land.,Evergreen,3
K073,07. NICU & Premature Babies,NICU infections (neonatal sepsis),Authority,Fear,Anxiety,Fear Hook + Informative,Why the Tiniest Infection Is So Dangerous for Newborns,"Newborn sepsis is a leading cause of neonatal death globally, and parents search to understand why doctors react so fast to a preemie's fever.","Your Breech Baby reel (175K) shows fear-plus-information performs when framed for everyone - newborn sepsis needs that universal, protective framing rather than a clinical lecture.",Evergreen,3
K074,07. NICU & Premature Babies,Feeding a baby who can't suck yet,Authority,Concerned,Anxiety,Instructive + Reassuring,How Do You Feed a Baby Too Tiny to Suck? A Neonatologist Explains,"Tube feeding and the slow journey to breastfeeding bewilder NICU parents, who search for what to expect and how to help.",Your Breastmilk Bath reel (57.4K) shows behind-the-scenes real footage draws curiosity - showing how a tiny baby is fed showcases the expertise that sets you apart.,Evergreen,3
K075,07. NICU & Premature Babies,NICU parent guilt and mental health,Community,Concerned,Sharing,Reassuring + Q&A,"If YOUR Baby Is in the NICU, This Guilt Is Not Your Fault","NICU-parent guilt and trauma are widely felt but rarely discussed, and supportive content resonates strongly with this audience.","Your Baby Sanu letter reel succeeded on a different goal at ~10K as emotional community content - a 'NICU guilt is not your fault' message is the same loyalty-building emotion, but lead with a universal line, not an insider reference.",Evergreen,2
K076,07. NICU & Premature Babies,Bringing a preemie home: first-week checklist,Authority,Concerned,Anxiety,Checklist + Instructive,Bringing YOUR Premature Baby Home? The First-Week Checklist,"Discharge is terrifying for preemie parents who suddenly lose the safety net of monitors, and they search for home-care guidance.",Your Baby Poop Colour reel held a 0.62% save rate as reference content - a bringing-baby-home checklist is the same save-worthy format meeting a high-anxiety moment only you can speak to.,Evergreen,2
K077,07. NICU & Premature Babies,"Touch, sound and light for a NICU baby",Authority,Joy,Sharing,Instructive + Reassuring,How YOUR Touch and Voice Help a NICU Baby Heal,Parents in the NICU feel helpless and search for ways to bond and help; gentle touch and voice are proven to soothe babies.,"Your Peekaboo reel (299K, top save rate) shows 'you can help' empowerment spreads - telling NICU parents how their touch and voice heal taps that exact lever and deepens the bond.",Evergreen,3
K078,07. NICU & Premature Babies,What a neonatologist actually does,Community,Curiosity,Sharing,Q&A + Reassuring,What Does a Neonatologist Do? A Day Inside the NICU,Many parents do not know neonatologists exist or how they differ from pediatricians; behind-the-scenes medical content performs well across platforms.,Your Breastmilk Bath collab reel (57.4K) shows behind-the-scenes curiosity performs - 'a day inside the NICU' establishes the professional identity that differentiates you from parenting creators.,Evergreen,3
K079,08. Common Conditions Explained,Reflux and spit-up versus vomiting,Authority,Concerned,Anxiety,Q&A + Reassuring,Is YOUR Baby's Spit-Up Normal or a Warning Sign?,"Reflux and frequent spitting-up worry most new parents, and distinguishing normal spit-up from concerning vomiting is a top search.","Your Breech Baby reel (175K, 0.75% save) shows a normal-versus-worry answer gets saved - spit-up versus vomiting is the same everyday reassurance.",Evergreen,2
K080,08. Common Conditions Explained,Constipation in babies,Authority,Concerned,Anxiety,Q&A + Instructive,Is YOUR Baby Really Constipated? What's Normal and What's Not,"Baby bowel habits cause constant worry, and parents frequently search whether infrequent or hard stools are a problem.",Your Baby Poop Colour reel (0.62% save rate) proves bowel-habit reference content gets saved even at low views - constipation norms are the same save-worthy self-check.,Evergreen,3
K081,08. Common Conditions Explained,Cradle cap and scalp flaking,Authority,Curiosity,Sharing,Q&A + Instructive,Those Yellow Flakes on YOUR Baby's Head - Here's What to Do,"Cradle cap is common and alarming-looking, and parents search for safe ways to treat it.","Your Breastmilk Bath reel (57.4K) shows visible, real-baby content draws curiosity - a harmless-but-alarming cradle-cap reveal is easy, shareable reassurance.",Evergreen,3
K082,08. Common Conditions Explained,Blocked tear ducts and watery eyes,Authority,Curiosity,Anxiety,Q&A + Instructive,Why Is YOUR Baby's Eye Always Watering or Sticky?,Blocked tear ducts are common in infants and prompt searches and unnecessary antibiotic use.,Your Breastmilk Bath reel (57.4K) shows real hands-on footage performs - a blocked-tear-duct massage demo builds the same trust through teaching.,Evergreen,3
K083,08. Common Conditions Explained,Tongue-tie and feeding problems,Authority,Concerned,Anxiety,Q&A + Informative,Could a Tongue-Tie Be Hurting YOUR Baby's Feeding?,"Tongue-tie awareness has risen sharply as a cause of feeding and latch trouble, and parents increasingly search for it.",Your 293K developing-normally reel proves naming an unknown cause of a common struggle works - tongue-tie is exactly that under-recognised reason behind feeding trouble.,Evergreen,3
K084,08. Common Conditions Explained,Flat head syndrome (plagiocephaly),Discovery,Fear,Anxiety,Fear Hook,Is YOUR Baby's Head Shape Normal? Check This in 5 Seconds,"Flat-head concern has grown with back-sleeping guidance, and parents search whether the shape will correct itself.","Your Skull Shape reel underperformed at 8.1K purely on weak packaging - reframed with a personal-pronoun question and a real-baby 5-second check, it becomes the self-check format that drove your 293K hit.",Evergreen,2
K085,08. Common Conditions Explained,Undescended testes and hernias,Authority,Concerned,Anxiety,Informative + Instructive,The Newborn Check Every Parent Forgets to Do,"Undescended testes and inguinal hernias are common and need timely action, but parents rarely know to look.",Your 293K developing-normally reel shows an unknown but important self-check gets saved - the undescended-testes check is the same kind of action parents did not know to do.,Evergreen,3
K086,08. Common Conditions Explained,Heart murmurs and the 'blue baby' sign,Discovery,Fear,Anxiety,Fear Hook,If YOUR Baby Turns Blue - This Is What It Means,"Bluish colour and heart murmurs are dramatic, low-awareness signs of heart problems that parents search to understand once noticed.","Your Blue Baby footage was named the single strongest hook in your entire library but was buried behind the wrong thumbnail at 12K - given its own video with real footage, your own estimate is 250-350K.",Evergreen,1
K087,09. Vaccination Decoded,The 0-2 year vaccine schedule,Authority,Curiosity,Anxiety,Checklist + Instructive,The Vaccine Schedule Every Indian Parent Should Save (0-2 Years),"Vaccine-schedule lookups are high-volume and recurring, and Indian parents juggle government and private schedules that often confuse them. August is National Immunization Awareness Month, adding timeliness.","Your Baby Poop Colour reel held a 0.62% save rate as reference content - a save-the-schedule vaccine chart is the same format. You have no vaccine reel yet, so treat the result as a confident projection.",August,2
K088,09. Vaccination Decoded,Fever after vaccination: normal or not,Discovery,Fear,Anxiety,Fear Hook + Reassuring,YOUR Baby Got a Fever After the Vaccine - Should You Panic?,"Post-vaccine fever is one of the most common 'is this normal' panic searches, freshly triggered after every immunisation visit.","Your Breech Baby reel (175K, 0.75% save) shows fear answered with reassurance gets saved - post-vaccine fever is that arc exactly, though vaccine performance on your channel is still unproven.",Evergreen,2
K089,09. Vaccination Decoded,Painless versus painful vaccines,Authority,Curiosity,Sharing,Safe or Not + Myth-Buster,Painless vs Painful Vaccines - Which Is Better for YOUR Baby?,"'Painless vaccine' is heavily marketed and heavily searched in India, with widespread misconception that it is simply better.","Your Superstition reel (58.1K, top comment ratio) shows a genuine parent dilemma drives debate - painless-versus-painful is that argument, with a no-brand verdict to keep trust. Vaccine reach is projected, not proven.",Evergreen,3
K090,09. Vaccination Decoded,Why the flu shot matters before monsoon,Authority,Fear,Anxiety,Instructive + Counter-Intuitive,Why YOUR Baby Needs the Flu Shot BEFORE the Monsoon Peaks,"Because India's flu peak is the monsoon, the pre-monsoon months are the live decision window, and search interest rises with the first rains.","Your 293K developing-normally reel proves fear-plus-a-clear-action performs; a 'flu shot before the monsoon peak' message uses that, but as a deeper follow-up. Vaccine performance is a projection for now.",June-July,2
K091,09. Vaccination Decoded,Catch-up for missed or delayed vaccines,Authority,Concerned,Anxiety,Q&A + Instructive,Missed YOUR Baby's Vaccine? It's Not Too Late - Here's What to Do,"Many Indian children fall behind schedule, and 'missed vaccine catch-up' is a guilt-and-anxiety search that rose after pandemic disruptions.","Your Breech Baby reel (175K, 0.75% save) shows reassuring an anxious parent gets saved - a catch-up message relieves vaccine-miss guilt the same way. Treat reach as projected.",Evergreen,3
K092,09. Vaccination Decoded,Which extra vaccines are worth it,Authority,Curiosity,Sharing,Safe or Not,Are the 'Optional' Vaccines Worth It for YOUR Baby?,Parents are confused and often pressured about optional private-market vaccines and search whether they are necessary.,"Your Cow Milk 'Safe or Not?' reel (94.4K) is the model for a balanced verdict on a costly, confusing choice - optional vaccines fit it. Vaccine reach on your channel is still unproven.",Evergreen,3
K093,09. Vaccination Decoded,Vaccine myths and side-effect fears,Authority,Concerned,Sharing,Myth-Buster,The Vaccine Myths Scaring Indian Parents - Busted,"Vaccine hesitancy and misinformation persist online, and parents search to separate real risks from false claims.","Your Superstition reel (58.1K) shows myth-busting drives debate and shares - busting vaccine myths is the same engine, with a calm evidence-based stance. Reach is projected.",August,3
K094,09. Vaccination Decoded,What to do on vaccination day,Authority,Curiosity,Anxiety,Instructive + Checklist,How to Make Vaccine Day Easier for YOUR Baby,"Parents search for practical tips to reduce pain and fuss on vaccine day (feeding, timing, comforting).","Your Baby Poop Colour reel (0.62% save rate) shows practical reference content gets saved - vaccine-day tips are the same calming, save-worthy how-to. Treat reach as projected.",Evergreen,3
K095,09. Vaccination Decoded,Rotavirus and the monsoon diarrhoea link,Authority,Concerned,Anxiety,Informative + Instructive,The Vaccine That Protects YOUR Baby From Monsoon Diarrhoea,"Rotavirus is a major cause of severe infant diarrhoea that worsens in the monsoon, and awareness of the protective vaccine is still growing.",Your 293K developing-normally reel shows linking a fear to a clear action performs - tying rotavirus to monsoon diarrhoea gives that timely protective hook. Vaccine reach is a projection.,July,3
K096,10. Red Flags & Emergencies,Shuddering versus seizures,Discovery,Fear,Anxiety,Fear Hook,If YOUR Baby Shudders Like This - Watch This NOW,"Infant twitching and shuddering trigger acute panic and late-night searches, with low awareness that most episodes are harmless.",Your Shuddering vs Seizures reel sits at 12.8K with its best line buried inside - moving that hook to the front with a real twitching clip is the packaging fix your own analysis estimates lifts it to 200-300K.,Evergreen,2
K097,10. Red Flags & Emergencies,Febrile seizures: what to do in the moment,Discovery,Fear,Anxiety,Fear Hook + Instructive,If YOUR Child Has a Fever Fit - Do NOT Do This,"Febrile seizures terrify parents and spike with monsoon viral fevers; dangerous folk responses (spoon in mouth, smelling onions) are common.","Your Shuddering vs Seizures reel (12.8K, fixable) shows infant-twitching panic is high-intent - a febrile-seizure do-and-don't built on real footage, correcting a dangerous folk response, taps that same fear.",July (peak),2
K098,10. Red Flags & Emergencies,Dehydration danger signs,Discovery,Fear,Anxiety,Checklist,5 Signs YOUR Baby Is Dangerously Dehydrated,"With monsoon stomach bugs surging, 'dehydration signs in babies' is acute seasonal intent; sunken soft spot and no wet nappies are under-known.","Your 293K developing-normally reel proves universal fear plus a checklist performs, and your Baby Poop Colour reel shows numbered red-flag lists get saved - dehydration signs combine both.",July (peak),2
K099,10. Red Flags & Emergencies,High fever in newborns under 3 months,Discovery,Fear,Anxiety,Fear Hook + Instructive,Any Fever in a Newborn Is an Emergency - Here's Why,"A fever in a baby under three months is a true emergency, but many parents wait and watch, a dangerous and searchable knowledge gap.",Your 293K developing-normally reel shows naming an underestimated danger works - 'any fever in a newborn is an emergency' carries your neonatologist weight on a risk parents wrongly wait out.,Evergreen,1
K100,10. Red Flags & Emergencies,Choking: the response every parent must know,Discovery,Fear,Anxiety,Fear Hook + Instructive,"If YOUR Baby Is Choking, Do THIS Immediately","Infant choking first-aid is a top safety search, and parents desperately want to know the correct response before an emergency happens.",Your 293K developing-normally reel proves universal fear plus a clear action gets saved - a life-saving choking demonstration on real footage is the most save-worthy version of that.,Evergreen,1
K101,10. Red Flags & Emergencies,Dehydration in heat versus rain,Authority,Concerned,Anxiety,Q&A + Instructive,Is YOUR Baby Getting Enough Fluids? Signs by Season,"Fluid needs and dehydration risks shift between summer heat and monsoon illness, and parents search seasonally for guidance.","Your Breech Baby reel (175K, 0.75% save) shows a fear-plus-self-check answer gets saved - seasonal fluid-need signs are that calmer, reference-style version.",June-July,3
K102,10. Red Flags & Emergencies,Head injuries and falls,Discovery,Fear,Anxiety,Fear Hook + Checklist,YOUR Baby Fell and Hit Their Head - When to Worry,"Falls from beds and sofas are extremely common, and 'baby hit head when to worry' is a high-panic, high-volume search.","Your 293K developing-normally reel works on universal fear plus a watch-for list - a 'baby hit their head, when to worry' video is the same near-universal panic with a save-worthy checklist.",Evergreen,2
K103,10. Red Flags & Emergencies,Allergic reactions and anaphylaxis,Authority,Fear,Anxiety,Fear Hook + Checklist,The Allergy Signs in YOUR Baby You Should Never Ignore,"Food-allergy awareness is rising as solids and new foods are introduced, and parents search for danger signs.","Your 293K developing-normally reel shows a fear-based sign-list gets saved - allergy danger signs are increasingly relevant as solids start, with reassurance to stay in your fear-to-calm structure.",Evergreen,3
K104,10. Red Flags & Emergencies,Poisoning and swallowing household items,Discovery,Fear,Anxiety,Fear Hook + Instructive,The Everyday Items Poisoning Curious Toddlers,"Accidental poisoning from cleaning products, button batteries and medicines is a leading toddler emergency and a strong safety search.","Your 293K developing-normally reel proves naming hidden dangers works - everyday poisoning hazards (batteries, cleaners) are exactly the unknown household risks parents underestimate.",Evergreen,3
K105,10. Red Flags & Emergencies,Recognising a serious versus mild illness,Discovery,Fear,Anxiety,Checklist,The Warning Signs That Mean YOUR Baby Needs a Doctor NOW,"Parents constantly search how to tell a worrying illness from a passing one, the single biggest source of their anxiety.",Your 293K developing-normally reel is your master self-check at 293K - a definitive 'when does my baby need a doctor NOW' red-flag list is the ultimate save-worthy version of that universal fear.,Evergreen,1
K106,"11. Baby Skin, Hair & Eyes",Eczema and dry skin,Authority,Concerned,Sharing,Q&A + Instructive,Why Is YOUR Baby's Skin So Dry and Itchy? Real Solutions,"Infant eczema is common and distressing, and parents search heavily for safe creams and triggers.","Your Breastmilk Bath reel (57.4K) shows visible, real-baby skin content draws curiosity - eczema solutions are the same relatable, shareable territory.",Evergreen,3
K107,"11. Baby Skin, Hair & Eyes",Nappy rash: prevention and cure,Authority,Curiosity,Sharing,Instructive + Checklist,End YOUR Baby's Nappy Rash for Good - Doctor's Routine,Nappy rash is near-universal and worsens in humid monsoon weather; 'how to treat nappy rash' is a constant search.,"Your Baby Poop Colour reel held a 0.62% save rate as diaper-adjacent reference content - a nappy-rash routine is the same save-worthy, universal everyday fix.",June-Aug,3
K108,"11. Baby Skin, Hair & Eyes",Heat rash and prickly heat,Authority,Curiosity,Sharing,Q&A + Instructive,How to Stop Prickly Heat From Tormenting YOUR Baby,"Heat rash spikes in hot, humid weather and is a top seasonal complaint for Indian parents.","Your Breastmilk Bath reel (57.4K) shows a visible seasonal skin issue on a real baby performs - prickly-heat relief is timely, relatable curiosity content.",June-July,3
K109,"11. Baby Skin, Hair & Eyes",Birthmarks and Mongolian spots,Authority,Curiosity,Sharing,Q&A + Reassuring,What Do YOUR Baby's Birthmarks Really Mean?,"Parents worry about birthmarks and the bluish Mongolian spots common in Indian babies, searching whether they are dangerous.","Your Breastmilk Bath reel hit 57.4K partly because Indian parents identify with real Indian babies - Mongolian spots are very common in Indian infants, making this reassurance both relatable and culturally specific.",Evergreen,3
K110,"11. Baby Skin, Hair & Eyes",Baby acne and milia,Authority,Curiosity,Sharing,Q&A + Reassuring,Why Does YOUR Newborn Have Pimples? Here's the Truth,Newborn acne alarms parents who fear a skin problem or react with harsh remedies; a common reassurance search.,"Your Breastmilk Bath reel (57.4K) shows light, visible, real-baby content gets shared - newborn acne is easy reassurance that widens reach.",Evergreen,3
K111,"11. Baby Skin, Hair & Eyes",Sunscreen and sun safety for babies,Authority,Concerned,Anxiety,Safe or Not + Instructive,Is Sunscreen Safe for YOUR Baby? Doctor's Guidance,"Sun-safety and sunscreen-for-babies questions rise in summer, and parents are unsure what is safe under six months.",Your Cow Milk 'Safe or Not?' reel (94.4K) is the model for a clear safe-or-not answer on a seasonal product worry like sunscreen.,June,3
K112,"11. Baby Skin, Hair & Eyes",Baby hair loss and bald patches,Authority,Curiosity,Sharing,Myth-Buster + Reassuring,Why Is YOUR Baby Going Bald? It's Usually Normal,"Newborn hair loss and a bald patch at the back of the head worry parents, who often blame deficiencies; a common reassurance search.","Your Breastmilk Bath reel (57.4K) shows reassuring, real-baby content gets shared - 'why is my baby going bald, it's normal' calms a common worry the same gentle way.",Evergreen,3
K113,"11. Baby Skin, Hair & Eyes","Sticky, watery or crossed eyes",Authority,Concerned,Anxiety,Q&A + Instructive,Should YOU Worry About YOUR Baby's Eyes Crossing?,Parents worry about occasional eye-crossing and discharge in young babies and search when it is normal versus a problem.,Your Breastmilk Bath reel (57.4K) shows real-footage explainers perform - a normal-versus-worry answer on eye-crossing or discharge fits that reassuring style.,Evergreen,3
K114,"11. Baby Skin, Hair & Eyes",Vitamin deficiencies that show on the body,Authority,Concerned,Anxiety,Informative + Checklist,The Signs of Hidden Deficiencies on YOUR Baby's Body,"Parents increasingly search for visible signs of vitamin and iron deficiencies, which are common in Indian children.",Your 293K developing-normally reel proves a hidden-sign checklist gets saved - visible deficiency signs are the same unknown-but-common danger parents want to spot.,Evergreen,3
K115,12. Sleep & Soothing,Safe sleep and co-sleeping,Authority,Fear,Anxiety,Safe or Not,Is Co-Sleeping With YOUR Baby Safe? The Indian Reality,"Co-sleeping is the Indian default, yet safe-sleep guidance pushes separate sleep to reduce suffocation risk, creating a real culture-versus-evidence tension with rising awareness.",Your Cow Milk 'Safe or Not?' reel (94.4K) is the model: a verdict on a universal Indian practice. Co-sleeping is exactly that culture-versus-evidence debate that drives comments and anxiety saves.,Evergreen,2
K116,12. Sleep & Soothing,Why newborns have day-night confusion,Authority,Curiosity,Sharing,Q&A + Instructive,Why Does YOUR Newborn Sleep All Day and Party All Night?,Day-night reversal exhausts new parents and is a heavily searched early sleep problem.,"Your Breastmilk Bath reel (57.4K) shows relatable curiosity content performs - day-night reversal is a shared, slightly funny pain point that exhausted parents forward.",Evergreen,3
K117,12. Sleep & Soothing,How much sleep babies actually need by age,Authority,Curiosity,Sharing,Checklist,How Much Should YOUR Baby Sleep? The Age-by-Age Guide,Sleep-needs charts are top-volume searches as parents judge whether their baby sleeps too little or too much.,Your 293K developing-normally reel shows an age-banded chart gets saved as reference - a how-much-sleep-by-age guide is the same save-worthy format.,Evergreen,3
K118,12. Sleep & Soothing,Sleep regressions explained,Authority,Concerned,Sharing,Q&A + Reassuring,Why Did YOUR Good Sleeper Suddenly Stop Sleeping?,Sleep regressions blindside parents and drive desperate searches at predictable ages.,"Your Peekaboo reel (299K, 2.02% save) shows relief-and-validation spreads - a 'this regression is normal and temporary' message taps that calming lever.",Evergreen,3
K119,12. Sleep & Soothing,Safe swaddling do's and don'ts,Authority,Concerned,Anxiety,Safe or Not + Instructive,Are YOU Swaddling YOUR Baby Safely? The Hip-Safe Way,"Swaddling is widely done in India, but tight hip wrapping risks hip problems and overheating, an under-known safety issue.",Your Cow Milk 'Safe or Not?' reel (94.4K) shows correcting a common practice with a clear verdict works - hip-safe swaddling is the same fix with a hands-on demo.,Evergreen,3
K120,12. Sleep & Soothing,Soothing a crying baby (the techniques),Discovery,Joy,Sharing,Instructive + Q&A,The Tricks That Calm a Crying Baby in Seconds,"Calming techniques are a desperate, high-volume search for every new parent, and 'how to soothe a baby' has broad appeal.","Your Peekaboo reel (299K, 6,054 saves) proves hopeful do-this content is your most shared - calming-a-crying-baby techniques tap that exact empowerment lever.",Evergreen,2
K121,12. Sleep & Soothing,When sleep problems signal something more,Authority,Fear,Anxiety,Fear Hook + Q&A,When Is YOUR Baby's Bad Sleep Actually a Health Problem?,"Parents search whether persistent sleep trouble, snoring or breathing pauses point to a medical issue.",Your 293K developing-normally reel shows fear-plus-red-flags gets saved - 'when is bad sleep actually a health problem' uses that with a clear see-a-doctor line.,Evergreen,3
K122,"13. Brain, Behaviour & Bonding",Talking and reading to babies,Discovery,Joy,Sharing,Myth-Buster + Instructive,Why Talking to YOUR Baby Now Makes Them Smarter Later,"Early-language and brain-building content performs strongly as parents seek simple, screen-free ways to boost development.","Your Peekaboo reel hit 299K and a 2.02% save rate on joy and brain-building validation - 'talking to your baby makes them smarter' is the same positive, forwardable lever.",Evergreen,2
K123,"13. Brain, Behaviour & Bonding",Tantrums and how to handle them,Discovery,Concerned,Sharing,Q&A + Instructive,Why YOUR Toddler Has Meltdowns - And What Actually Works,"Toddler tantrums are a universal, high-frustration search topic with broad appeal to parents of one-to-four-year-olds.","Your 293K developing-normally reel works because every parent self-relates - toddler tantrums are the same near-universal struggle, framed as the question every family asks.",Evergreen,2
K124,"13. Brain, Behaviour & Bonding",Separation anxiety,Authority,Concerned,Sharing,Q&A + Reassuring,Why Does YOUR Baby Cry the Moment YOU Leave?,"Separation anxiety distresses parents and is a common developmental search, especially as mothers return to work.","Your Peekaboo reel (299K, top save rate) shows relief-and-validation spreads - 'separation anxiety is healthy development' reassures and gets shared the same way.",Evergreen,3
K125,"13. Brain, Behaviour & Bonding",Discipline without hitting,Authority,Concerned,Sharing,Counter-Intuitive + Q&A,Why Hitting Doesn't Work - And What Does,"Discipline approaches are debated in Indian homes where physical punishment is still common, and gentle-discipline searches are rising.","Your Superstition reel (58.1K, top comment ratio) shows challenging an accepted practice drives debate - a 'hitting doesn't work' stance creates the same comment engine.",Evergreen,3
K126,"13. Brain, Behaviour & Bonding",Building a secure bond with your baby,Community,Joy,Sharing,Instructive + Reassuring,"The Simple Habits That Build a Secure, Confident Child",Attachment and bonding content resonates emotionally and is sought by parents wanting to 'do it right'.,"Your Peekaboo reel (299K, 6,054 saves) proves warm, validating content is your most forwarded - secure-bonding habits tap that exact joy-and-reassurance lever.",Evergreen,3
K127,"13. Brain, Behaviour & Bonding",Stranger anxiety and shyness,Authority,Curiosity,Sharing,Q&A + Reassuring,Is It Normal That YOUR Baby Fears Strangers?,"Stranger anxiety surprises families used to passing the baby around, and parents search whether shyness is a problem.","Your Peekaboo reel (299K, top save rate) shows reassuring developmental content spreads - 'stranger fear is normal' calms family pressure the same gentle way.",Evergreen,3
K128,"13. Brain, Behaviour & Bonding",Independent play and not over-stimulating,Authority,Curiosity,Sharing,Myth-Buster + Instructive,Why YOUR Baby Doesn't Need Constant Entertainment,"Over-scheduling and toy overload are growing concerns, and parents search how much stimulation is healthy.","Your Superstition reel (58.1K) shows gently countering a modern habit sparks debate - 'your baby doesn't need constant entertainment' is a surprising, scroll-stopping claim.",Evergreen,3
K129,"13. Brain, Behaviour & Bonding",Bilingual and multilingual babies,Authority,Curiosity,Sharing,Myth-Buster,Will Teaching YOUR Baby Two Languages Confuse Them?,"Multilingual households are common in India, and parents worry that multiple languages cause delay, a frequent myth-driven search.",Your Superstition reel (58.1K) proves busting a relatable myth drives shares - the 'two languages confuse babies' myth is one nearly every Indian family wonders about.,Evergreen,3
K130,14. NICU & Miracle Stories,A 600-gram survival story,Community,Joy,Sharing,Miracle Story,She Weighed 600 Grams. Today She's Walking.,Premature-survival stories travel far beyond the parenting niche with universal emotional pull and strong share-on-sight behaviour.,"Your Baby Sanu letter reel proved emotional community content succeeds (~10K on a different goal), but it under-reached because it led with an insider name. Lead with the shocking weight instead, and name the whole team, as your analysis prescribes.",Evergreen,2
K131,14. NICU & Miracle Stories,A multiple-birth (twins/triplets) journey,Community,Joy,Sharing,Miracle Story,She Was Told She'd Never Carry All of Them. She Did.,"Multiple-birth stories have universal wow-factor and are shared on sight, with strong family-group forwarding.",Your Quintuplets reel had a strong thumbnail but flopped at 12.5K because it used studio dolls instead of a real story - telling the real journey is the format fix your own analysis estimates can reach up to 1M.,Evergreen,3
K132,14. NICU & Miracle Stories,A 'four-day-old fighter' case,Community,Joy,Sharing,Miracle Story,This 4-Day-Old Baby Fought For His Life. Here's What Happened.,"Episodic real-patient stories build returning-viewer loyalty, and serialised NICU storytelling sustains watch-through.","Your Baby Sanu letter reel showed real-patient emotion builds loyalty (~10K) - an episodic 'four-day fighter' story works the same, but open with a universal hook so non-followers can enter.",Evergreen,3
